pdv_anonimizado,codigo_barras_sku,first_date,last_date,history_days,fill_rate,fill_rate_last_30,fill_rate_last_90,fill_rate_last_120,total_sales,mean_sales,days_since_last_sale,global_max_date,series_class
1,7896843200119,2022-12-02,2024-12-09,739,0.737,0.9,0.922,0.925,3011.0,4.07,1,2024-12-10,B
1,7896843200201,2022-12-01,2024-12-10,741,0.808,0.867,0.911,0.933,2969.0,4.01,0,2024-12-10,A
1,7896843200218,2022-12-01,2024-12-09,740,0.799,0.967,0.933,0.883,3043.0,4.11,1,2024-12-10,B
1,7896843200249,2022-12-01,2024-12-09,740,0.889,1.0,0.989,0.967,3395.0,4.59,1,2024-12-10,A
1,7896843200263,2022-12-01,2024-12-09,740,0.843,0.933,0.978,0.958,4072.0,5.5,1,2024-12-10,A
1,7896843200539,2022-12-04,2024-12-09,737,0.754,0.933,0.944,0.917,3100.0,4.21,1,2024-12-10,B
1,7896843201017,2022-12-04,2024-12-09,737,0.738,0.833,0.922,0.908,3052.0,4.14,1,2024-12-10,B
1,7896843201079,2022-12-01,2024-12-09,740,0.878,0.967,0.978,0.958,3341.0,4.51,1,2024-12-10,A
1,7897395000578,2022-12-01,2024-10-27,697,0.637,0.733,0.633,0.642,3482.0,5.0,44,2024-12-10,D
1,7897395000585,2022-12-01,2024-10-25,695,0.235,0.233,0.167,0.158,233.0,0.34,46,2024-12-10,D
1,7897395000769,2022-12-07,2023-11-03,332,0.169,0.2,0.1,0.125,276.0,0.83,403,2024-12-10,D
1,7897395000882,2022-12-01,2024-11-26,727,0.268,0.167,0.2,0.192,1083.0,1.49,14,2024-12-10,C
1,7897395000912,2022-12-14,2024-12-07,725,0.101,0.367,0.278,0.267,221.0,0.3,3,2024-12-10,C
1,7897395000929,2022-12-20,2024-08-30,620,0.01,0.033,0.022,0.017,62.0,0.1,102,2024-12-10,D
1,7897395000943,2022-12-01,2024-12-09,740,0.782,0.733,0.767,0.783,3634.0,4.91,1,2024-12-10,B
1,7897395000950,2022-12-01,2024-09-10,650,0.189,0.1,0.078,0.1,1167.0,1.8,91,2024-12-10,D
1,7897395001032,2022-12-01,2024-11-19,720,0.182,0.3,0.3,0.283,613.0,0.85,21,2024-12-10,C
1,7897395001049,2022-12-08,2024-07-13,584,0.063,0.133,0.156,0.158,62.0,0.11,150,2024-12-10,D
1,7897395001063,2022-12-01,2024-12-09,740,0.555,0.467,0.5,0.567,1716.0,2.32,1,2024-12-10,C
1,7897395001070,2022-12-01,2024-11-25,726,0.08,0.033,0.022,0.025,92.0,0.13,15,2024-12-10,C
1,7897395001766,2023-04-17,2023-10-11,178,0.309,0.267,0.189,0.242,178.0,1.0,426,2024-12-10,D
1,7897395020101,2022-12-01,2024-12-08,739,0.87,0.967,0.956,0.942,19124.0,25.88,2,2024-12-10,A
1,7897395020132,2022-12-11,2024-12-01,722,0.042,0.033,0.011,0.008,36.0,0.05,9,2024-12-10,C
1,7897395020194,2022-12-01,2024-12-09,740,0.964,1.0,1.0,0.992,13123.0,17.73,1,2024-12-10,A
